Date,Value,Anomaly
201803,49.0,0.2
201804,57.2,3.2
201805,63.0,2.3
201806,71.4,3.1
201807,79.6,4.9
201808,76.4,2.7
201809,71.1,2.6
201810,60.9,1.4
201811,52.6,3.1
201812,44.8,1.7
201901,46.1,3.8
201902,40.7,-4.6
201903,48.9,0.1
201904,58.2,4.2
201905,58.6,-2.1
201906,71.1,2.8
201907,75.6,0.9
201908,76.8,3.1
201909,68.9,0.4
201910,58.8,-0.7
201911,53.0,3.5
201912,44.5,1.4
202001,45.4,3.1
202002,49.2,3.9
202003,48.0,-0.8
202004,56.6,2.6
202005,64.7,4.0
202006,70.5,2.2
202007,76.6,1.9
202008,78.9,5.2
202009,74.1,5.6
202010,66.3,6.8
202011,51.0,1.5
